employee_id,department,job_level,age,salary,company_years,career_years,hiring_source,education_level,recently_promoted,distance,work_from_home,travel_frequently,leave
EMP0907,Finance,Mid,51,79548.0,3,21.0,Direct,Undergrad Degree,False,5,False,No,False
EMP1219,Sales,Junior,34,24487.0,1,1.0,Agency,Undergrad Degree,False,41,False,No,True
EMP1005,IT,Senior,29,120123.0,2,8.0,Direct,Secondary,False,3,False,No,True
EMP1382,Sales,Junior,18,14422.0,1,1.0,Direct,Masters,False,3,False,N,True
EMP0515,Sales,Mid,29,107307.0,7,7.0,Direct,Undergrad Degree,False,10,False,No,False
EMP0663,Sales,Mid,28,72855.0,5,8.0,Direct,Undergrad Degree,True,13,True,No,True
EMP0510,Sales,Mid,37,64896.0,7,19.0,Direct,Secondary,False,62,False,Yes,False
EMP1436,IT,Junior,50,27093.0,0,13.0,Direct,Undergrad Degree,False,20,False,Yes,False
EMP0339,Sales,Junior,58,57671.0,10,10.0,Agency,Undergrad Degree,False,3,False,No,False
EMP0299,Finance,Mid,29,90785.0,10,11.0,Direct,UG Degree,False,3,False,Yes,True
EMP0833,IT,Junior,35,27675.0,4,13.0,Direct,PhD,True,44,False,No,True
EMP0584,IT,Mid,58,84912.0,6,36.0,Agency,Secondary,False,7,False,No,False
EMP0412,Finance,Senior,44,111314.0,8,8.0,Agency,Undergrad Degree,False,9,False,No,True
EMP1189,HR,Mid,21,64316.0,1,1.0,Direct,PhD,False,101,True,Yes,True
EMP0764,Finance,Junior,32,34748.0,5,5.0,Direct,Secondary,False,63,True,Yes,False
EMP0825,Sales,Junior,27,56288.0,4,5.0,Agency,Undergrad Degree,False,11,False,No,True
EMP0427,IT,Mid,50,79674.0,8,18.0,Direct,Undergrad Degree,False,16,True,No,False
EMP1059,Sales,Junior,27,53820.0,2,,Agency,,False,3,False,No,True
EMP1329,Finance,Junior,38,33099.0,1,8.0,Agency,Undergrad Degree,False,3,True,N,False
EMP0451,HR,Mid,37,64002.0,8,8.0,Direct,Undergrad Degree,False,3,False,Yes,False
EMP0580,Sales,Mid,56,68369.0,6,17.0,Agency,Secondary,False,95,False,Yes,False
EMP1411,HR,Junior,21,46628.0,1,1.0,Direct,PhD,False,3,False,No,True
EMP0709,HR,Junior,32,57456.0,5,7.0,Direct,Secondary,False,5,False,Yes,False
EMP0993,IT,Junior,27,23735.0,3,3.0,Agency,Undergrad Degree,False,24,False,No,True
EMP0136,Finance,Lead,43,234086.0,21,24.0,Direct,Undergrad Degree,True,7,False,Yes,False
EMP0755,Sales,Junior,26,25186.0,5,8.0,Direct,Undergrad Degree,False,59,False,No,True
EMP0752,IT,Junior,27,48569.0,5,7.0,Direct,Undergrad Degree,False,3,False,No,False
EMP0728,Sales,Junior,30,40657.0,5,5.0,Referral,Secondary,False,10,False,Yes,False
EMP1231,Sales,Junior,29,33786.0,1,3.0,Direct,,False,3,False,Yes,True
EMP0858,Finance,Junior,33,37408.0,4,4.0,Agency,Undergrad Degree,False,3,False,No,False
EMP0811,Finance,Mid,36,100771.0,4,12.0,Agency,Undergrad Degree,False,3,False,No,False
EMP0750,Sales,Junior,29,58679.0,5,6.0,Direct,Undergrad Degree,False,27,False,Yes,False
EMP1460,HR,Junior,33,24492.0,0,9.0,Direct,Secondary,False,3,False,No,True
EMP0676,Finance,Mid,45,69024.0,5,10.0,Referral,Undergrad Degree,False,3,True,Yes,False
EMP0885,IT,Junior,24,30041.0,4,4.0,Direct,Undergrad Degree,False,8,True,No,False
EMP1215,Finance,Junior,21,33181.0,1,1.0,Direct,Undergrad Degree,True,21,True,No,False
EMP0844,Sales,Junior,30,25451.0,4,,Agency,Secondary,False,3,False,Yes,False
EMP0587,HR,Mid,36,66105.0,6,9.0,Direct,Masters,False,9,True,No,False
EMP0994,IT,Junior,34,30175.0,3,,Direct,Undergrad Degree,False,4,False,No,False
EMP0350,HR,Senior,55,192828.0,9,36.0,Referral,Masters,False,3,True,Yes,False
EMP0439,Sales,Mid,44,94970.0,8,8.0,Agency,Masters,False,11,False,Yes,True
EMP1420,IT,Mid,30,79210.0,0,8.0,Agency,Secondary,True,3,False,No,False
EMP0740,Sales,Junior,27,24875.0,5,5.0,Agency,Undergrad Degree,False,13,,No,False
EMP0256,HR,Mid,38,92803.0,11,15.0,Agency,Undergrad Degree,False,18,True,No,False
EMP0252,Finance,Senior,35,136623.0,11,11.0,Direct,Undergrad Degree,False,7,True,No,False
EMP0342,IT,Lead,53,209101.0,9,28.0,Direct,Undergrad Degree,False,3,False,Yes,False
EMP0453,Sales,Mid,34,81086.0,8,9.0,Direct,Undergrad Degree,False,3,True,No,False
EMP1045,Sales,Junior,32,32639.0,2,6.0,Agency,Undergrad Degree,True,3,False,Yes,False
EMP0870,Finance,Junior,41,43609.0,4,9.0,Referral,Undergrad Degree,False,16,True,No,False
EMP1157,Sales,Mid,26,85831.0,1,1.0,Direct,Undergrad Degree,False,3,True,Yes,True
EMP0324,Sales,Junior,31,51409.0,10,10.0,Direct,Secondary,True,3,False,Yes,False
EMP0131,IT,Senior,49,197535.0,22,24.0,Direct,Secondary,False,22,False,No,False
EMP0827,HR,Junior,25,49355.0,4,4.0,Direct,Secondary,False,11,True,No,False
EMP0594,HR,Junior,43,36041.0,6,7.0,Agency,Secondary,False,10,False,No,False
EMP0416,Sales,Senior,37,120476.0,8,8.0,Agency,Secondary,False,10,False,No,False
EMP1164,Sales,Mid,30,69254.0,1,1.0,Direct,Undergrad Degree,False,72,False,No,True
EMP1160,Sales,Mid,39,78427.0,1,11.0,Direct,Undergrad Degree,False,26,False,No,False
EMP0191,Sales,Senior,39,159782.0,16,18.0,Direct,Masters,False,10,False,No,False
EMP0987,Sales,Junior,30,46690.0,3,6.0,Direct,Undergrad Degree,False,9,True,Yes,False
EMP0980,Sales,Junior,34,26582.0,3,5.0,Direct,Masters,False,78,False,No,True
EMP0366,Finance,Mid,41,94178.0,9,9.0,Agency,Masters,False,84,False,Yes,True
EMP0626,IT,Junior,39,42368.0,6,,Direct,Undergrad Degree,False,21,True,Yes,False
EMP0307,IT,Mid,32,65480.0,10,12.0,Referral,Secondary,False,5,False,No,False
EMP1374,Finance,Junior,35,27368.0,1,1.0,Direct,Secondary,False,8,False,No,False
EMP0222,Sales,Senior,37,123193.0,13,19.0,Agency,Secondary,False,8,True,No,False
EMP1227,Sales,Junior,33,44364.0,1,14.0,Direct,Undergrad Degree,False,3,True,No,True
EMP0202,Finance,Mid,55,91005.0,15,28.0,Direct,Undergrad Degree,True,3,True,Yes,False
EMP0956,Sales,Junior,43,28010.0,3,11.0,Agency,Secondary,False,3,False,No,True
EMP0514,Sales,Mid,46,97357.0,7,7.0,Agency,,True,3,False,Yes,False
EMP0637,Sales,Lead,51,231175.0,5,26.0,Direct,Masters,False,3,False,No,True
EMP0617,HR,Junior,39,37051.0,6,10.0,Direct,Undergrad Degree,False,4,True,No,False
EMP0246,Sales,Junior,35,48686.0,12,12.0,Direct,Secondary,False,5,False,N,False
EMP0905,HR,Mid,38,68401.0,3,9.0,Agency,Undergrad Degree,False,6,True,No,False
EMP0429,IT,Mid,47,76437.0,8,10.0,Direct,Undergrad Degree,False,3,False,Yes,False
EMP0935,IT,Junior,37,53937.0,3,5.0,Agency,Secondary,False,3,,No,False
EMP1274,IT,Junior,31,57669.0,1,1.0,Direct,Undergrad Degree,False,25,False,No,False
EMP0971,Sales,Junior,29,29946.0,3,3.0,Direct,UG Degree,False,4,False,No,False
EMP1371,Finance,Junior,23,13671.0,1,1.0,Agency,Undergrad Degree,False,115,False,No,True
EMP0330,HR,Junior,36,54910.0,10,17.0,Direct,Undergrad Degree,False,11,False,No,False
EMP1216,HR,Junior,21,29940.0,1,1.0,Direct,Secondary,False,37,False,No,True
EMP1350,HR,Junior,30,35099.0,1,1.0,Agency,Secondary,False,18,False,No,True
EMP0247,Sales,Junior,44,42997.0,12,14.0,Direct Hire,Secondary,False,9,True,No,False
EMP0297,Finance,Mid,30,68200.0,10,12.0,Direct,Secondary,False,27,False,No,True
EMP0902,Finance,Senior,47,128227.0,3,19.0,Agency,UG Degree,False,96,False,Yes,True
EMP0282,Sales,Senior,40,142832.0,10,18.0,Direct,Undergrad Degree,False,25,False,No,False
EMP0489,Sales,Senior,31,141329.0,7,,Agency,Undergrad Degree,False,17,True,Yes,False
EMP0557,Sales,Junior,35,35689.0,7,11.0,Direct,Undergrad Degree,False,3,False,No,True
EMP1121,HR,Lead,50,239710.0,1,1.0,Direct,Undergrad Degree,False,18,True,Yes,False
EMP0891,Finance,Senior,54,153666.0,3,25.0,Agency,Undergrad Degree,False,3,True,Yes,False
EMP1235,Sales,Junior,18,28718.0,1,1.0,Direct,Undergrad Degree,False,80,False,No,True
EMP0140,IT,Lead,52,203497.0,20,,Direct,Undergrad Degree,True,105,True,No,False
EMP1249,Sales,Junior,40,30195.0,1,3.0,Agency,Undergrad Degree,False,17,False,No,True
EMP1451,Finance,Junior,26,30734.0,-1,7.0,Direct,Undergrad Degree,False,3,False,No,True
EMP0560,Sales,Lead,40,231134.0,6,22.0,Referral,Masters,True,9,False,No,False
EMP0218,Finance,Junior,37,47986.0,14,17.0,Direct,Undergrad Degree,False,8,True,N,False
EMP0158,IT,Junior,51,37619.0,20,21.0,Direct,Undergrad Degree,False,28,False,No,False
EMP0727,HR,Junior,36,53132.0,5,9.0,Direct,Undergrad Degree,False,8,False,No,False
EMP0505,HR,Mid,51,62548.0,7,7.0,Agency,Masters,False,8,False,Yes,False
EMP1399,Sales,Junior,25,27048.0,1,1.0,Direct,Undergrad Degree,False,3,False,Yes,True
EMP0445,Sales,Mid,41,91350.0,8,11.0,Direct,Undergrad Degree,False,3,False,Yes,False
EMP0100,Sales,Lead,56,236509.0,34,34.0,Agency,Undergrad Degree,False,3,True,No,False
EMP0724,Sales,Junior,46,38291.0,5,10.0,Direct,PhD,False,18,False,Yes,False
EMP1011,Finance,Senior,45,117599.0,2,19.0,Direct,Undergrad Degree,True,3,False,No,False
EMP0774,IT,Junior,44,25431.0,5,7.0,Agency,Undergrad Degree,False,7,True,Yes,False
EMP0201,IT,Mid,40,74019.0,15,19.0,Direct,Masters,False,3,True,No,False
EMP1124,IT,Senior,36,172563.0,1,1.0,Agency,Masters,False,50,False,No,True
EMP0499,IT,Mid,34,61095.0,7,7.0,Direct,Undergrad Degree,True,3,False,Yes,False
EMP0414,Sales,Senior,27,117968.0,8,8.0,Direct,Undergrad Degree,False,3,False,Yes,True
EMP0491,HR,Mid,35,63891.0,7,7.0,Direct,Undergrad Degree,False,21,False,No,False
EMP1183,Sales,Mid,39,90463.0,1,8.0,Agency,Undergrad Degree,False,3,True,Yes,False
EMP1199,IT,Mid,27,62223.0,1,1.0,Referral,Undergrad Degree,False,3,False,No,False
EMP0651,HR,Senior,52,152020.0,5,28.0,Direct Hire,Undergrad Degree,True,32,False,Yes,False
EMP0432,IT,Mid,32,84561.0,8,8.0,Referral,Undergrad Degree,False,7,True,No,False
EMP0668,HR,Mid,25,69904.0,5,,Direct,Secondary,False,99,True,Yes,True
EMP0204,HR,Junior,33,58011.0,15,15.0,Direct,Undergrad Degree,False,119,True,No,True
EMP0570,IT,Mid,33,75206.0,6,6.0,Agency,Undergrad Degree,True,13,False,No,True
EMP0226,IT,Mid,52,88939.0,13,26.0,Agency,UG Degree,False,3,True,Yes,False
EMP1014,IT,Senior,52,160832.0,2,17.0,Direct,Masters,False,3,True,Yes,False
EMP0281,Sales,Senior,56,134109.0,10,21.0,Direct,Secondary,False,17,True,No,False
EMP0938,Sales,Junior,28,52668.0,3,7.0,Direct,Masters,False,61,False,No,True
EMP1288,Finance,Junior,18,24815.0,1,1.0,Direct,Undergrad Degree,False,3,False,Yes,True
EMP0606,Sales,Junior,39,34717.0,6,6.0,Direct,Undergrad Degree,False,3,False,No,False
EMP0992,Finance,Junior,31,24818.0,3,8.0,Direct Hire,Undergrad Degree,False,7,True,No,False
EMP1159,IT,Mid,26,60564.0,1,1.0,Direct,Undergrad Degree,True,3,True,No,False
EMP0322,Sales,Junior,44,49369.0,10,11.0,Referral,Undergrad Degree,False,3,False,No,False
EMP0671,HR,Mid,40,76158.0,5,8.0,Direct,Undergrad Degree,False,21,True,No,False
EMP1292,Finance,Junior,18,30247.0,1,1.0,Agency,PhD,False,42,False,Yes,True
EMP0548,IT,Junior,31,29600.0,7,11.0,Direct,Undergrad Degree,False,84,False,No,False
EMP0137,Sales,Senior,40,128183.0,21,22.0,Agency,Undergrad Degree,False,22,False,No,False
EMP0171,Finance,Junior,40,25668.0,19,19.0,Direct,Secondary,False,8,False,No,False
EMP0775,IT,Junior,53,34528.0,5,,Referral,Undergrad Degree,False,8,True,No,False
EMP1269,HR,Junior,20,28884.0,1,1.0,Direct,Undergrad Degree,False,17,False,No,True
EMP0978,Sales,Junior,37,30833.0,3,3.0,Referral,Secondary,False,3,False,No,False
EMP0341,Sales,Junior,36,33371.0,10,,Agency,PhD,False,3,True,No,False
EMP0672,HR,Mid,46,60106.0,5,7.0,Referral,Secondary,False,20,False,No,False
EMP0872,IT,Junior,52,31523.0,4,4.0,Direct,Undergrad Degree,False,24,False,No,True
EMP0179,Sales,Mid,51,75261.0,18,21.0,Direct,Masters,False,3,False,No,False
EMP0962,Sales,Junior,34,40601.0,3,9.0,Referral,Undergrad Degree,False,5,False,No,False
EMP0708,Sales,Junior,48,56571.0,5,14.0,Referral,Undergrad Degree,True,14,False,No,False
EMP0930,HR,Junior,46,33198.0,3,6.0,Agency,Undergrad Degree,False,13,False,No,True
EMP1144,Finance,Senior,32,127063.0,1,1.0,Agency,Undergrad Degree,False,3,False,No,True
EMP0289,Finance,Senior,31,110704.0,10,,Direct,Masters,False,5,False,Yes,False
EMP0291,IT,Senior,53,150707.0,10,18.0,Agency,Secondary,False,8,False,Y,False
EMP1061,Finance,Junior,33,27312.0,2,2.0,Direct,Undergrad Degree,False,3,True,Yes,False
EMP0162,Finance,Lead,44,203686.0,19,19.0,Direct,Secondary,False,10,True,No,False
EMP1306,Sales,Junior,37,26653.0,1,4.0,Referral,Masters,False,8,True,No,False
EMP1002,Sales,Junior,39,44000.0,3,10.0,Direct,Secondary,True,11,False,N,False
EMP0942,Finance,Junior,27,29426.0,3,3.0,Agency,,False,6,False,Yes,False
EMP0199,Sales,Senior,38,125632.0,15,15.0,Direct Hire,Secondary,False,8,True,No,False
EMP1137,HR,Senior,45,120589.0,1,1.0,Agency,Undergrad Degree,False,84,True,No,True
EMP1141,Finance,Senior,43,164318.0,1,17.0,Direct,Undergrad Degree,False,26,True,Yes,False
EMP0682,HR,Mid,28,75580.0,5,8.0,Agency,Undergrad Degree,False,3,False,Yes,False
EMP1295,IT,Junior,29,18751.0,1,1.0,Agency,Secondary,False,3,False,Yes,False
EMP1190,IT,Mid,45,65392.0,1,22.0,Direct,Undergrad Degree,False,3,True,Yes,True
EMP0331,HR,Junior,46,45108.0,10,12.0,Agency,Undergrad Degree,False,8,,No,False
EMP1023,IT,Mid,35,76902.0,2,6.0,Agency,Secondary,False,8,False,No,False
EMP1384,Sales,Junior,18,30042.0,1,1.0,Agency,Secondary,False,3,False,Yes,True
EMP0296,Sales,Mid,36,75024.0,10,12.0,Direct,Secondary,True,15,False,No,False
EMP1297,HR,Junior,18,33910.0,1,1.0,Direct,Undergrad Degree,False,87,False,No,True
EMP0952,Sales,Junior,30,37946.0,3,,Agency,Secondary,False,3,True,No,False
EMP0517,Sales,Mid,32,61934.0,7,10.0,Direct,Undergrad Degree,True,16,False,No,False
EMP1074,Sales,Junior,26,35876.0,2,3.0,Agency,Undergrad Degree,False,7,False,No,False
EMP1341,IT,Junior,32,40686.0,1,2.0,Agency,Secondary,False,97,False,Yes,True
EMP1446,Finance,Junior,26,41770.0,-1,5.0,Direct,Undergrad Degree,False,3,False,Y,True
EMP0958,IT,Junior,26,38744.0,3,5.0,Referral,Undergrad Degree,False,3,True,No,False
EMP1122,HR,Lead,40,221576.0,1,1.0,Direct,Secondary,False,3,False,No,True
EMP0815,Finance,Mid,30,64736.0,4,4.0,Direct,Undergrad Degree,False,3,False,Yes,False
EMP0984,Sales,Junior,57,50200.0,3,4.0,Direct,Undergrad Degree,False,4,False,No,False
EMP0688,IT,Mid,34,79144.0,5,11.0,Agency,Undergrad Degree,False,81,True,Yes,False
EMP0855,Sales,Junior,27,25189.0,4,7.0,Direct,Secondary,False,42,True,No,True
EMP0684,IT,Mid,32,62699.0,5,7.0,Agency,Undergrad Degree,True,24,False,No,False
EMP1111,Sales,Lead,37,239642.0,1,1.0,Agency,Undergrad Degree,False,12,True,Yes,True
EMP0498,Finance,Mid,34,109584.0,7,7.0,Direct,UG Degree,False,8,False,No,False
EMP0677,Sales,Mid,44,72848.0,5,,Referral,Undergrad Degree,True,14,False,No,False
EMP1065,Finance,Junior,26,26828.0,2,4.0,Agency,Undergrad Degree,False,85,True,No,False
EMP0337,IT,Junior,40,28251.0,10,10.0,Direct,Undergrad Degree,False,29,False,No,False
EMP0145,Finance,Lead,40,213262.0,20,20.0,Agency,Undergrad Degree,False,10,True,No,False
EMP0689,Finance,Mid,42,68834.0,5,9.0,Direct,Undergrad Degree,False,3,True,No,False
EMP0241,HR,Senior,36,143424.0,12,16.0,Agency,Undergrad Degree,False,7,False,No,False
EMP0492,HR,Mid,50,84068.0,7,7.0,Direct,Undergrad Degree,False,18,False,No,False
EMP0215,HR,Mid,35,80116.0,14,15.0,Direct,Secondary,False,3,True,No,False
EMP0836,Finance,Junior,40,30096.0,4,6.0,Agency,Undergrad Degree,False,7,False,No,False
EMP0895,Finance,Senior,56,135819.0,3,20.0,Direct,Secondary,True,3,True,No,False
EMP0786,Sales,Junior,35,51271.0,5,6.0,Direct,Secondary,True,120,True,No,False
EMP1456,IT,Junior,39,31989.0,0,6.0,Direct,UG Degree,False,3,False,Yes,False
EMP0278,Sales,Senior,52,116947.0,10,29.0,Direct,Secondary,False,76,,No,True
